Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг);1	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора;1	Сумма налога;1	Количество вагонов;1	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию;1	Итого НДС по прибытию;1
270181082	54373618	АГ924414	Работа с документом окончена	06.04.2012 1:00:55	12.04.2012 13:08:00	13.04.2012 6:03:20	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005	1002256437	893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	19.04.2012	06.04.2012 1:00:55	1002256437	24232	4361,76
270740022	54431101	00538323	Работа с документом окончена	06.04.2012 1:00:57	12.04.2012 13:08:00	13.04.2012 6:05:44	Прибытие			9999		синь мань	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	19.04.2012	06.04.2012 1:00:57	1000587151	24232	4361,76
270349282	52640612	ЭИ434707	Работа с документом окончена	06.04.2012 12:01:48	09.04.2012 12:50:00	10.04.2012 5:10:32	Прибытие			4920	57683591	Общество с ограниченной ответственностью "Иркутская Грузовая Компания"	4048	58789423	ООО,,ТрансЦентр,,	891806	1000484315	880801		421034	0	2	57683591	Общество с ограниченной ответственностью "Иркутская Грузовая Компания"	7500	1350	1	10.04.2012	06.04.2012 12:01:48	1000484315	0	0
270530496	54426358	ЭИ506815	Работа с документом окончена	06.04.2012 13:51:16	21.04.2012 6:05:00	21.04.2012 12:43:31	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	533206	1002256437	893500		421034	0	1	93294342	ООО "ТрансЛес"	55974	10075,32	2	22.04.2012	06.04.2012 13:51:16	1002256437	0	0
269889702	52109113	ЭИ257771	Работа с документом окончена	07.04.2012 16:17:45	13.04.2012 13:05:00	14.04.2012 6:26:10	Прибытие			4920	57683591	Общество с ограниченной ответственностью "Иркутская Грузовая Компания"	4048	58789423	ООО,,ТрансЦентр,,	891806	1000484315	880801		421034	0	1	88334298	ЗАО "Спецэнерготранс"	4511	811,98	1	11.04.2012	07.04.2012 16:17:45	1000484315	0	0
270995450	54486485	00547274	Работа с документом окончена	08.04.2012 1:00:17	16.04.2012 8:00:00	16.04.2012 12:47:09	Прибытие			9999		СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	21.04.2012	08.04.2012 1:00:17	1000587151	24274	4369,32
270224008	54833587	ЭИ388010	Работа с документом окончена	08.04.2012 12:15:58	08.04.2012 12:18:13	08.04.2012 12:20:32	Прибытие			33	71782437	ООО "СибУглеМетТранс"	4048	58789423	ООО,,ТрансЦентр,,	893500	1002702379	893500		421034	0	1	71782437	ООО "СибУглеМетТранс"	44	7,92	1	11.04.2012	08.04.2012 12:15:58	1002702379	0	0
270223889	54833470	ЭИ387946	Работа с документом окончена	08.04.2012 12:22:34	08.04.2012 12:24:54	08.04.2012 12:26:36	Прибытие			33	71782437	ООО "СибУглеМетТранс"	4048	58789423	ООО,,ТрансЦентр,,	893500	1002702379	893500		421034	0	1	71782437	ООО "СибУглеМетТранс"	44	7,92	1	11.04.2012	08.04.2012 12:22:34	1002702379	0	0
270684568	53607024	ЭИ566116	Работа с документом окончена	08.04.2012 21:23:35	14.04.2012 7:31:00	14.04.2012 9:48:09	Прибытие			1006	60789005	Общество с ограниченной ответственностью "Независимая логистическая компания"	4048	58789423	ООО,,ТрансЦентр,,	892103	1003691006	889308		421034	0	1	60789005	Общество с ограниченной ответственностью "Независимая логистическая компания"	6210	1117,8	1	12.04.2012	08.04.2012 21:23:35	1003691006	0	0
270054455	42857862	АГ918090	Работа с документом окончена	09.04.2012 1:00:00	16.04.2012 8:00:00	16.04.2012 12:40:00	Прибытие			4048	58789423	ООО,,ТрансЦентр,,	4048	58789423	ООО,,ТрансЦентр,,	947005	1000587151	895101		421034	0	1	82404922	ОАО "Первая грузовая компания"	24274	4369,32	1	22.04.2012	09.04.2012 1:00:00	1000587151	24274	4369,32
