Идентификатор ведомости	Номер ведомости	Состояние	Дата начала периода ведомости	Дата окончания периода ведомос	Дата создания ведомости	Дата закрытия ведомости	Код плательщика	Код станции	Плата за пользование;1	Сумма штрафа;1	Сбор за подачу/уборку;1	Сбор за маневр. операции;1	Сбор за пробег локомотива;1	Сбор за пользование п. путем;1	Кол-во вагонов по ведомости;1	Общий простой по ведом.(час-ми	Сумма сбора по ведомости (ру;1
270525444	001442	Согласован	25.03.2012	04.04.2012	04.04.2012 7:36:07	04.04.2012 7:36:08	1000587151	895807	121,4	0	0	0	0	0	2	4-40	121,4
270613598	041034	Согласован	26.03.2012	04.04.2012	04.04.2012 21:14:06	04.04.2012 21:15:02	1000587151	893500	0	0	4053,4	0	0	0	1	220-30	4053,4
270714281	041035	Согласован	27.03.2012	05.04.2012	05.04.2012 17:13:24	06.04.2012 3:35:25	1000587151	893500	0	0	12710	0	0	0	8	1369-20	12710
270714666	041036	Согласован	29.03.2012	05.04.2012	05.04.2012 17:17:12	06.04.2012 3:36:08	1000587151	893500	0	0	4053,4	0	0	0	2	360-00	4053,4
270752519	042084	Согласован	29.03.2012	06.04.2012	06.04.2012 6:44:05		1000587151	895101	0	0	0	0	0	0	7	970-05	
270801070	042086	Согласован	29.03.2012	06.04.2012	06.04.2012 13:08:39		1000587151	895101	0	0	0	0	0	0	5	404-55	
270310058	041083	Согласован	30.03.2012	02.04.2012	02.04.2012 11:01:09	02.04.2012 11:01:10	1000587151	895101	1575,2	0	0	0	0	0	1	103-40	1575,2
270289116	041082	Согласован	30.03.2012	02.04.2012	02.04.2012 8:15:57		1000587151	895101	0	0	0	0	0	0	2	87-00	
270288547	041081	Согласован	30.03.2012	02.04.2012	02.04.2012 8:09:07		1000587151	895101	0	0	0	0	0	0	2	130-00	
270714931	041037	Согласован	31.03.2012	05.04.2012	05.04.2012 17:19:54	06.04.2012 3:36:47	1000587151	893500	0	0	6080,1	0	0	0	2	193-00	6080,1
270373316	041030	Согласован	31.03.2012	02.04.2012	02.04.2012 18:56:49	02.04.2012 18:58:01	1000587151	893500	0	0	4053,4	0	0	0	1	53-30	4053,4
